"IndicatorName","IndicatorCode"
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD
"Net bilateral aid flows from DAC donors, Sweden (current US$)",DC.DAC.SWEL.CD
"Net bilateral aid flows from DAC donors, Switzerland (current US$)",DC.DAC.CHEL.CD
"Net bilateral aid flows from DAC donors, Total (current US$)",DC.DAC.TOTL.CD
"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",DC.DAC.GBRL.CD
"Net bilateral aid flows from DAC donors, United States (current US$)",DC.DAC.USAL.CD
"Net capital account (BoP, current US$)",BN.TRF.KOGT.CD
"Net change in interest arrears (current US$)",DT.IXA.DPPG.CD.CG
"Net current transfers from abroad (constant LCU)",NY.TRF.NCTR.KN
"Net current transfers from abroad (current LCU)",NY.TRF.NCTR.CN
"Net current transfers from abroad (current US$)",NY.TRF.NCTR.CD
"Net domestic credit (current LCU)",FM.AST.DOMS.CN
"Net errors and omissions (BoP, current US$)",BN.KAC.EOMS.CD
"Net financial account (BoP, current US$)",BN.FIN.TOTL.CD
"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD
"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD
"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD
"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD
"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD
"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD
"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD
"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD
"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD
"Net flows on external debt, long-term (NFL, current US$)",DT.NFL.DLXF.CD
"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD
"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD
"Net flows on external debt, short-term (NFL, current US$)",DT.NFL.DSTC.CD
"Net flows on external debt, total (NFL, current US$)",DT.NFL.DECT.CD
"Net foreign assets (current LCU)",FM.AST.NFRG.CN
"Net income from abroad (constant LCU)",NY.GSR.NFCY.KN
"Net income from abroad (current LCU)",NY.GSR.NFCY.CN
"Net income from abroad (current US$)",NY.GSR.NFCY.CD
"Net incurrence of liabilities, domestic (% of GDP)",GC.FIN.DOMS.GD.ZS
"Net incurrence of liabilities, domestic (current LCU)",GC.FIN.DOMS.CN
"Net incurrence of liabilities, foreign (% of GDP)",GC.FIN.FRGN.GD.ZS
"Net incurrence of liabilities, foreign (current LCU)",GC.FIN.FRGN.CN
"Net intake rate in grade 1 (% of official school-age population)",SE.PRM.NINT.ZS
"Net intake rate in grade 1, female (% of official school-age population)",SE.PRM.NINT.FE.ZS
"Net intake rate in grade 1, male (% of official school-age population)",SE.PRM.NINT.MA.ZS
"Net migration",SM.POP.NETM
"Net ODA received (% of central government expense)",DT.ODA.ODAT.XP.ZS
"Net ODA received (% of GNI)",DT.ODA.ODAT.GN.ZS
"Net ODA received (% of gross capital formation)",DT.ODA.ODAT.GI.ZS
"Net ODA received (% of imports of goods, services and primary income)",DT.ODA.ODAT.MP.ZS
"Net ODA received per capita (current US$)",DT.ODA.ODAT.PC.ZS
"Net official aid received (constant 2011 US$)",DT.ODA.OATL.KD
"Net official aid received (current US$)",DT.ODA.OATL.CD
"Net official development assistance and official aid received (constant 2011 US$)",DT.ODA.ALLD.KD
"Net official development assistance and official aid received (current US$)",DT.ODA.ALLD.CD
"Net official development assistance received (constant 2011 US$)",DT.ODA.ODAT.KD
"Net official development assistance received (current US$)",DT.ODA.ODAT.CD
"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD
"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD
"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD
"Net official flows from UN agencies, UNECE (current US$)",DT.NFL.UNEC.CD
"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD
"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD
"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD
"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD
"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD
"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD
"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD
"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD
"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD
"Net secondary income (BoP, current US$)",BN.TRF.CURR.CD
"Net taxes on products (constant LCU)",NY.TAX.NIND.KN
"Net taxes on products (current LCU)",NY.TAX.NIND.CN
"Net taxes on products (current US$)",NY.TAX.NIND.CD
"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD
"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD
"Net transfers on external debt, long-term (NTR, current US$)",DT.NTR.DLXF.CD
"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD
"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD
"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS
"New businesses registered (number)",IC.BUS.NREG
"Newborns protected against tetanus (%)",SH.VAC.TTNS.ZS
"Nitrous oxide emissions (thousand metric tons of CO2 equivalent)",EN.ATM.NOXE.KT.CE
"Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent)",EN.ATM.NOXE.EG.KT.CE
"Nitrous oxide emissions in industrial and energy processes (% of total nitrous oxide emissions)",EN.ATM.NOXE.EI.ZS
"Number of infant deaths",SH.DTH.IMRT
"Number of maternal deaths",SH.MMR.DTHS
"Number of neonatal deaths",SH.DTH.NMRT
"Number of under-five deaths",SH.DTH.MORT
"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF
"Oil rents (% of GDP)",NY.GDP.PETR.RT.ZS
"Ores and metals exports (% of merchandise exports)",TX.VAL.MMTL.ZS.UN
"Ores and metals imports (% of merchandise imports)",TM.VAL.MMTL.ZS.UN
"Organic water pollutant (BOD) emissions (kg per day per worker)",EE.BOD.WRKR.KG
"Organic water pollutant (BOD) emissions (kg per day)",EE.BOD.TOTL.KG
"Other expense (% of expense)",GC.XPN.OTHR.ZS
"Other expense (current LCU)",GC.XPN.OTHR.CN
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE
"Other manufacturing (% of value added in manufacturing)",NV.MNF.OTHR.ZS.UN
"Other taxes (% of revenue)",GC.TAX.OTHR.RV.ZS
"Other taxes (current LCU)",GC.TAX.OTHR.CN
"Other taxes payable by businesses (% of commercial profits)",IC.TAX.OTHR.CP.ZS
"Out-of-pocket health expenditure (% of private expenditure on health)",SH.XPD.OOPC.ZS
"Out-of-pocket health expenditure (% of total expenditure on health)",SH.XPD.OOPC.TO.ZS
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS
"Part time employment, female (% of total part time employment)",SL.TLF.PART.TL.FE.ZS
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS
"Passenger cars (per 1,000 people)",IS.VEH.PCAR.P3
"Patent applications, nonresidents",IP.PAT.NRES
"Patent applications, residents",IP.PAT.RESD
"Permanent cropland (% of land area)",AG.LND.CROP.ZS
"Persistence to grade 5, female (% of cohort)",SE.PRM.PRS5.FE.ZS
"Persistence to grade 5, male (% of cohort)",SE.PRM.PRS5.MA.ZS
"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS
"Persistence to last grade of primary, female (% of cohort)",SE.PRM.PRSL.FE.ZS
"Persistence to last grade of primary, male (% of cohort)",SE.PRM.PRSL.MA.ZS
"Persistence to last grade of primary, total (% of cohort)",SE.PRM.PRSL.ZS
"Personal remittances, paid (current US$)",BM.TRF.PWKR.CD.DT
"Personal remittances, received (% of GDP)",BX.TRF.PWKR.DT.GD.ZS
"Personal remittances, received (current US$)",BX.TRF.PWKR.CD.DT
"Personal transfers, receipts (BoP, current US$)",BX.TRF.PWKR.CD
"PFC gas emissions (thousand metric tons of CO2 equivalent)",EN.ATM.PFCG.KT.CE
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS
"Plant species (higher), threatened",EN.HPT.THRD.NO
"PM10, country level (micrograms per cubic meter)",EN.ATM.PM10.MC.M3
"PNG, bonds (AMT, current US$)",DT.AMT.PNGB.CD
"PNG, bonds (DIS, current US$)",DT.DIS.PNGB.CD
"PNG, bonds (DOD, current US$)",DT.DOD.PNGB.CD
"PNG, bonds (INT, current US$)",DT.INT.PNGB.CD
"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD
"PNG, bonds (NTR, current US$)",DT.NTR.PNGB.CD
"PNG, bonds (TDS, current US$)",DT.TDS.PNGB.CD
"PNG, commercial banks and other creditors (AMT, current US$)",DT.AMT.PNGC.CD
"PNG, commercial banks and other creditors (DIS, current US$)",DT.DIS.PNGC.CD
"PNG, commercial banks and other creditors (DOD, current US$)",DT.DOD.PNGC.CD
"PNG, commercial banks and other creditors (INT, current US$)",DT.INT.PNGC.CD
"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD
"PNG, commercial banks and other creditors (NTR, current US$)",DT.NTR.PNGC.CD
"PNG, commercial banks and other creditors (TDS, current US$)",DT.TDS.PNGC.CD
"Point-of-sale terminals (per 100,000 adults)",FB.POS.TOTL.P5
"Population (Total)",SP.POP.TOTL
"Population ages 0-14 (% of total)",SP.POP.0014.TO.ZS
"Population ages 15-64 (% of total)",SP.POP.1564.TO.ZS
"Population ages 65 and above (% of total)",SP.POP.65UP.TO.ZS
"Population density (people per sq. km of land area)",EN.POP.DNST
"Population growth (annual %)",SP.POP.GROW
"Population in largest city",EN.URB.LCTY
"Population in the largest city (% of urban population)",EN.URB.LCTY.UR.ZS
"Population in urban agglomerations of more than 1 million",EN.URB.MCTY
"Population in urban agglomerations of more than 1 million (% of total population)",EN.URB.MCTY.TL.ZS
"Population living in areas where elevation is below 5 meters (% of total population)",EN.POP.EL5M.ZS
"Population, female (% of total)",SP.POP.TOTL.FE.ZS
"Portfolio equity, net inflows (BoP, current US$)",BX.PEF.TOTL.CD.WD
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD
"Portfolio Investment, net (BoP, current US$)",BN.KLT.PTXL.CD
"Poverty gap at $1.25 a day (PPP) (%)",SI.POV.GAPS
"Poverty gap at $2 a day (PPP) (%)",SI.POV.GAP2
"Poverty gap at national poverty line (%)",SI.POV.NAGP
"Poverty gap at rural poverty line (%)",SI.POV.RUGP
"Poverty gap at urban poverty line (%)",SI.POV.URGP
"Poverty headcount ratio at $1.25 a day (PPP) (% of population)",SI.POV.DDAY
"Poverty headcount ratio at $2 a day (PPP) (% of population)",SI.POV.2DAY
"Poverty headcount ratio at national poverty line (% of population)",SI.POV.NAHC
"Poverty headcount ratio at rural poverty line (% of rural population)",SI.POV.RUHC
"Poverty headcount ratio at urban poverty line (% of urban population)",SI.POV.URHC
"Power outages in firms in a typical month (number)",IC.ELC.OUTG
"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD
"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD
"PPG, bilateral (DOD, current US$)",DT.DOD.BLAT.CD
"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD
"PPG, bilateral (NTR, current US$)",DT.NTR.BLAT.CD
"PPG, bilateral (TDS, current US$)",DT.TDS.BLAT.CD
"PPG, bilateral concessional (AMT, current US$)",DT.AMT.BLTC.CD
"PPG, bilateral concessional (DIS, current US$)",DT.DIS.BLTC.CD
"PPG, bilateral concessional (DOD, current US$)",DT.DOD.BLTC.CD
"PPG, bilateral concessional (INT, current US$)",DT.INT.BLTC.CD
"PPG, bilateral concessional (NFL, current US$)",DT.NFL.BLTC.CD
"PPG, bilateral concessional (NTR, current US$)",DT.NTR.BLTC.CD
"PPG, bilateral concessional (TDS, current US$)",DT.TDS.BLTC.CD
"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD
"PPG, bonds (DIS, current US$)",DT.DIS.PBND.CD
"PPG, bonds (DOD, current US$)",DT.DOD.PBND.CD
"PPG, bonds (INT, current US$)",DT.INT.PBND.CD
"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD
"PPG, bonds (NTR, current US$)",DT.NTR.PBND.CD
"PPG, bonds (TDS, current US$)",DT.TDS.PBND.CD
"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD
"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD
"PPG, commercial banks (DOD, current US$)",DT.DOD.PCBK.CD
"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD
"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD
"PPG, commercial banks (NTR, current US$)",DT.NTR.PCBK.CD
"PPG, commercial banks (TDS, current US$)",DT.TDS.PCBK.CD
"PPG, IBRD (AMT, current US$)",DT.AMT.MIBR.CD
"PPG, IBRD (DIS, current US$)",DT.DIS.MIBR.CD
"PPG, IBRD (DOD, current US$)",DT.DOD.MIBR.CD
"PPG, IBRD (INT, current US$)",DT.INT.MIBR.CD
"PPG, IBRD (NTR, current US$)",DT.NTR.MIBR.CD
"PPG, IBRD (TDS, current US$)",DT.TDS.MIBR.CD
"PPG, IDA (AMT, current US$)",DT.AMT.MIDA.CD
"PPG, IDA (DIS, current US$)",DT.DIS.MIDA.CD
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD
"PPG, IDA (INT, current US$)",DT.INT.MIDA.CD
"PPG, IDA (NTR, current US$)",DT.NTR.MIDA.CD
"PPG, IDA (TDS, current US$)",DT.TDS.MIDA.CD
"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD
"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD
"PPG, multilateral (DOD, current US$)",DT.DOD.MLAT.CD
"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD
"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD
"PPG, multilateral concessional (AMT, current US$)",DT.AMT.MLTC.CD
"PPG, multilateral concessional (DIS, current US$)",DT.DIS.MLTC.CD
"PPG, multilateral concessional (DOD, current US$)",DT.DOD.MLTC.CD
"PPG, multilateral concessional (INT, current US$)",DT.INT.MLTC.CD
"PPG, multilateral concessional (NFL, current US$)",DT.NFL.MLTC.CD
"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD
"PPG, multilateral concessional (TDS, current US$)",DT.TDS.MLTC.CD
"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD
"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD
"PPG, official creditors (DOD, current US$)",DT.DOD.OFFT.CD
"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD
"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD
"PPG, official creditors (NTR, current US$)",DT.NTR.OFFT.CD
"PPG, official creditors (TDS, current US$)",DT.TDS.OFFT.CD
"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD
"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD
"PPG, other private creditors (DOD, current US$)",DT.DOD.PROP.CD
"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD
"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD
"PPG, other private creditors (NTR, current US$)",DT.NTR.PROP.CD
"PPG, other private creditors (TDS, current US$)",DT.TDS.PROP.CD
"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD
"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD
"PPG, private creditors (DOD, current US$)",DT.DOD.PRVT.CD
"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD
"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD
"PPG, private creditors (NTR, current US$)",DT.NTR.PRVT.CD
"PPG, private creditors (TDS, current US$)",DT.TDS.PRVT.CD
"PPP conversion factor (GDP) to market exchange rate ratio",PA.NUS.PPPC.RF
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP
"PPP conversion factor, private consumption (LCU per international $)",PA.NUS.PRVT.PP
"Pregnant women receiving prenatal care (%)",SH.STA.ANVC.ZS
"Presence of peace keepers (number of troops, police, and military observers in mandate)",VC.PKP.TOTL.UN
"Present value of external debt (% of exports of goods, services and primary income)",DT.DOD.PVLX.EX.ZS
"Present value of external debt (% of GNI)",DT.DOD.PVLX.GN.ZS
"Present value of external debt (current US$)",DT.DOD.PVLX.CD
"Prevalence of anemia among children (% of children under 5)",SH.ANM.CHLD.ZS
"Prevalence of anemia among pregnant women (%)",SH.PRG.ANEM
"Prevalence of HIV, female (% ages 15-24)",SH.HIV.1524.FE.ZS
"Prevalence of HIV, male (% ages 15-24)",SH.HIV.1524.MA.ZS
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS
"Prevalence of overweight (% of children under 5)",SH.STA.OWGH.ZS
"Prevalence of overweight, female (% of children under 5)",SH.STA.OWGH.FE.ZS
"Prevalence of overweight, male (% of children under 5)",SH.STA.OWGH.MA.ZS
"Prevalence of undernourishment (% of population)",SN.ITK.DEFC.ZS
"Prevalence of wasting (% of children under 5)",SH.STA.WAST.ZS
"Prevalence of wasting, female (% of children under 5)",SH.STA.WAST.FE.ZS
"Prevalence of wasting, male (% of children under 5)",SH.STA.WAST.MA.ZS
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS
"Primary education, duration (years)",SE.PRM.DURS
"Primary education, pupils",SE.PRM.ENRL
"Primary education, pupils (% female)",SE.PRM.ENRL.FE.ZS
"Primary education, teachers",SE.PRM.TCHR
"Primary education, teachers (% female)",SE.PRM.TCHR.FE.ZS
"Primary income on FDI (current US$)",BX.KLT.DREM.CD.DT
"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD
"Primary school starting age (years)",SE.PRM.AGES
"Principal arrears, official creditors (current US$)",DT.AXA.OFFT.CD
"Principal arrears, private creditors (current US$)",DT.AXA.PRVT.CD
"Principal arrears, public and publicly guaranteed (current US$)",DT.AXA.DPPG.CD
"Principal forgiven (current US$)",DT.AXF.DPPG.CD
"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD
"Principal repayments on external debt, long-term + IMF (AMT, current US$)",DT.AMT.DLTF.CD
"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD
"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",DT.AMT.DPPG.CD
"Principal rescheduled (current US$)",DT.AXR.DPPG.CD
"Principal rescheduled, official (current US$)",DT.AXR.OFFT.CD
"Principal rescheduled, private (current US$)",DT.AXR.PRVT.CD
"Private credit bureau coverage (% of adults)",IC.CRD.PRVT.ZS
"Procedures to build a warehouse (number)",IC.WRH.PROC
"Procedures to enforce a contract (number)",IC.LGL.PROC
"Procedures to register property (number)",IC.PRP.PROC
"Profit tax (% of commercial profits)",IC.TAX.PRFT.CP.ZS
"Progression to secondary school (%)",SE.SEC.PROG.ZS
"Progression to secondary school, female (%)",SE.SEC.PROG.FE.ZS
"Progression to secondary school, male (%)",SE.SEC.PROG.MA.ZS
"Proportion of seats held by women in national parliaments (%)",SG.GEN.PARL.ZS
"Public and publicly guaranteed debt service (% of exports of goods, services and primary income)",DT.TDS.DPPG.XP.ZS
"Public and publicly guaranteed debt service (% of GNI)",DT.TDS.DPPG.GN.ZS
"Public credit registry coverage (% of adults)",IC.CRD.PUBL.ZS
"Public spending on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS
"Public spending on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
"Pump price for diesel fuel (US$ per liter)",EP.PMP.DESL.CD
"Pump price for gasoline (US$ per liter)",EP.PMP.SGAS.CD
"Pupil-teacher ratio, primary",SE.PRM.ENRL.TC.ZS
"Pupil-teacher ratio, secondary",SE.SEC.ENRL.TC.ZS
"Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)",IQ.WEF.PORT.XQ
"Quasi money (current LCU)",FM.LBL.QMNY.CN
"Quasi-liquid liabilities (% of GDP)",FS.LBL.QLIQ.GD.ZS
"Rail lines (total route-km)",IS.RRS.TOTL.KM
"Railways, goods transported (million ton-km)",IS.RRS.GOOD.MT.K6
"Railways, passengers carried (million passenger-km)",IS.RRS.PASG.KM
"Ratio of female to male labor force participation rate (%)",SL.TLF.CACT.FM.ZS
"Ratio of female to male primary enrollment (%)",SE.ENR.PRIM.FM.ZS
"Ratio of female to male secondary enrollment (%)",SE.ENR.SECO.FM.ZS
"Ratio of female to male tertiary enrollment (%)",SE.ENR.TERT.FM.ZS
"Ratio of girls to boys in primary and secondary education (%)",SE.ENR.PRSC.FM.ZS
"Ratio of young literate females to males (% ages 15-24)",SE.ADT.1524.LT.FM.ZS
"Real effective exchange rate index (2005 = 100)",PX.REX.REER
"Real interest rate (%)",FR.INR.RINR
"Refugee population by country or territory of asylum",SM.POP.REFG
"Refugee population by country or territory of origin",SM.POP.REFG.OR
"Renewable internal freshwater resources per capita (cubic meters)",ER.H2O.INTR.PC
"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3
"Repeaters, primary, female (% of female enrollment)",SE.PRM.REPT.FE.ZS
"Repeaters, primary, male (% of male enrollment)",SE.PRM.REPT.MA.ZS
"Repeaters, primary, total (% of total enrollment)",SE.PRM.REPT.ZS
"Repeaters, secondary, female (% of female enrollment)",SE.SEC.REPT.FE.ZS
"Repeaters, secondary, male (% of male enrollment)",SE.SEC.REPT.MA.ZS
"Repeaters, secondary, total (% of total enrollment)",SE.SEC.REPT.ZS
"Research and development expenditure (% of GDP)",GB.XPD.RSDV.GD.ZS
"Researchers in R&D (per million people)",SP.POP.SCIE.RD.P6
"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD
"Residual, debt stock-flow reconciliation (current US$)",DT.DOD.RSDL.CD
"Revenue, excluding grants (% of GDP)",GC.REV.XGRT.GD.ZS
"Revenue, excluding grants (current LCU)",GC.REV.XGRT.CN
"Risk premium on lending (lending rate minus treasury bill rate, %)",FR.INR.RISK
"Road density (km of road per 100 sq. km of land area)",IS.ROD.DNST.K2
"Road sector diesel fuel consumption (kt of oil equivalent)",IS.ROD.DESL.KT
"Road sector diesel fuel consumption per capita (kg of oil equivalent)",IS.ROD.DESL.PC
"Road sector energy consumption (% of total energy consumption)",IS.ROD.ENGY.ZS
"Road sector energy consumption (kt of oil equivalent)",IS.ROD.ENGY.KT
"Road sector energy consumption per capita (kg of oil equivalent)",IS.ROD.ENGY.PC
"Road sector gasoline fuel consumption (kt of oil equivalent)",IS.ROD.SGAS.KT
"Road sector gasoline fuel consumption per capita (kg of oil equivalent)",IS.ROD.SGAS.PC
"Roads, goods transported (million ton-km)",IS.ROD.GOOD.MT.K6
"Roads, passengers carried (million passenger-km)",IS.ROD.PSGR.K6
"Roads, paved (% of total roads)",IS.ROD.PAVE.ZS
"Roads, total network (km)",IS.ROD.TOTL.KM
"Rural population",SP.RUR.TOTL
"Rural population (% of total population)",SP.RUR.TOTL.ZS
"Rural population growth (annual %)",SP.RUR.TOTL.ZG
"S&P Global Equity Indices (annual % change)",CM.MKT.INDX.ZG
"School enrollment, preprimary (% gross)",SE.PRE.ENRR
"School enrollment, preprimary, female (% gross)",SE.PRE.ENRR.FE
"School enrollment, preprimary, male (% gross)",SE.PRE.ENRR.MA
"School enrollment, primary (% gross)",SE.PRM.ENRR
"School enrollment, primary (% net)",SE.PRM.NENR
"School enrollment, primary, female (% gross)",SE.PRM.ENRR.FE
"School enrollment, primary, female (% net)",SE.PRM.NENR.FE
"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA
"School enrollment, primary, male (% net)",SE.PRM.NENR.MA
"School enrollment, primary, private (% of total primary)",SE.PRM.PRIV.ZS
"School enrollment, secondary (% gross)",SE.SEC.ENRR
"School enrollment, secondary (% net)",SE.SEC.NENR
"School enrollment, secondary, female (% gross)",SE.SEC.ENRR.FE
"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE
"School enrollment, secondary, male (% gross)",SE.SEC.ENRR.MA
"School enrollment, secondary, male (% net)",SE.SEC.NENR.MA
"School enrollment, secondary, private (% of total secondary)",SE.SEC.PRIV.ZS
"School enrollment, tertiary (% gross)",SE.TER.ENRR
"School enrollment, tertiary, female (% gross)",SE.TER.ENRR.FE
"School enrollment, tertiary, male (% gross)",SE.TER.ENRR.MA
"Scientific and technical journal articles",IP.JRN.ARTC.SC
"Secondary education, duration (years)",SE.SEC.DURS
"Secondary education, general pupils",SE.SEC.ENRL.GC
"Secondary education, general pupils (% female)",SE.SEC.ENRL.GC.FE.ZS
"Secondary education, pupils",SE.SEC.ENRL
"Secondary education, pupils (% female)",SE.SEC.ENRL.FE.ZS
"Secondary education, teachers",SE.SEC.TCHR
"Secondary education, teachers (% female)",SE.SEC.TCHR.FE.ZS
"Secondary education, teachers, female",SE.SEC.TCHR.FE
"Secondary education, vocational pupils",SE.SEC.ENRL.VO
"Secondary education, vocational pupils (% female)",SE.SEC.ENRL.VO.FE.ZS
"Secondary income receipts (BoP, current US$)",BX.TRF.CURR.CD
"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD
"Secondary school starting age (years)",SE.SEC.AGES
"Secure Internet servers",IT.NET.SECR
"Secure Internet servers (per 1 million people)",IT.NET.SECR.P6
"Self-employed, female (% of females employed)",SL.EMP.SELF.FE.ZS
"Self-employed, male (% of males employed)",SL.EMP.SELF.MA.ZS
"Self-employed, total (% of total employed)",SL.EMP.SELF.ZS
"Service exports (BoP, current US$)",BX.GSR.NFSV.CD
"Service imports (BoP, current US$)",BM.GSR.NFSV.CD
"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS
"Services, etc., value added (annual % growth)",NV.SRV.TETC.KD.ZG
"Services, etc., value added (constant 2005 US$)",NV.SRV.TETC.KD
"Services, etc., value added (constant LCU)",NV.SRV.TETC.KN
"Services, etc., value added (current LCU)",NV.SRV.TETC.CN
"Services, etc., value added (current US$)",NV.SRV.TETC.CD
"SF6 gas emissions (thousand metric tons of CO2 equivalent)",EN.ATM.SF6G.KT.CE
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS
"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS
"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS
"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS
"Share of women employed in the nonagricultural sector (% of total nonagricultural employment)",SL.EMP.INSV.FE.ZS
"Short-term debt (% of exports of goods, services and primary income)",DT.DOD.DSTC.XP.ZS
"Short-term debt (% of total external debt)",DT.DOD.DSTC.ZS
